id,CPSI_verse,CPSI_chorus,version,year
0,1.373869,1.605107,top10v111,2012
1,1.265655,1.348835,top10v111,2012
2,1.036676,0.901763,top10v111,2012
3,1.257873,0.910825,top10v111,2012
4,1.18308,0.761456,top10v111,2012
5,1.340887,0.60482,top10v111,2012
6,1.706273,0.662291,top10v111,2012
7,1.691582,1.604985,top10v111,2012
8,1.028142,0.626908,top10v111,2012
9,1.275052,0.983938,top10v111,2012
10,1.221444,0.662291,top10v111,2012
0,1.491417,1.652315,top10v112,2012
1,1.79542,1.411836,top10v112,2012
2,0.863419,1.105237,top10v112,2012
3,0.701708,1.181837,top10v112,2012
4,1.022306,1.291779,top10v112,2012
5,0.701708,1.105237,top10v112,2012
6,1.586797,1.455692,top10v112,2012
7,2.045712,2.000686,top10v112,2012
8,0.863419,1.405257,top10v112,2012
9,1.266126,1.291779,top10v112,2012
10,1.142823,1.456281,top10v112,2012
0,1.396047,1.636966,top10v121,2012
1,1.481023,1.541752,top10v121,2012
2,0.83795,1.120403,top10v121,2012
3,1.293941,0.638859,top10v121,2012
4,1.18005,0.407638,top10v121,2012
5,0.95369,0.850708,top10v121,2012
6,1.716621,0.662291,top10v121,2012
7,1.713529,1.604985,top10v121,2012
8,0.994309,0.626908,top10v121,2012
9,1.279152,0.983938,top10v121,2012
10,1.241235,0.407638,top10v121,2012
0,1.50327,1.72651,top10v122,2012
1,1.943279,1.722558,top10v122,2012
2,0.762216,1.132007,top10v122,2012
3,0.914352,1.407149,top10v122,2012
4,0.898154,1.239039,top10v122,2012
5,0.762216,1.205524,top10v122,2012
6,1.586797,1.432214,top10v122,2012
7,2.011141,2.000686,top10v122,2012
8,0.925479,1.132007,top10v122,2012
9,1.304037,1.239039,top10v122,2012
10,1.107504,1.347249,top10v122,2012
0,2.015314,2.224745,top10v131,2012
1,1.248838,1.956943,top10v131,2012
2,0.879653,2.0,top10v131,2012
3,1.755075,1.06066,top10v131,2012
4,1.112191,0.57735,top10v131,2012
5,1.351591,1.866025,top10v131,2012
6,0.942809,0.790569,top10v131,2012
7,1.547787,1.678867,top10v131,2012
8,1.581139,0.935414,top10v131,2012
9,1.0,1.761199,top10v131,2012
10,1.524783,0.471405,top10v131,2012
0,1.0,0.909059,top10v132,2012
1,1.086534,1.312335,top10v132,2012
2,1.271045,1.269296,top10v132,2012
3,1.159202,1.404358,top10v132,2012
4,1.035817,0.740683,top10v132,2012
5,1.705791,1.76973,top10v132,2012
6,1.035817,1.190238,top10v132,2012
7,1.086534,1.296362,top10v132,2012
8,1.0,0.719278,top10v132,2012
9,1.451771,1.404358,top10v132,2012
10,1.44698,0.719278,top10v132,2012
0,1.394295,1.623819,top10v211,2012
1,1.315696,1.429602,top10v211,2012
2,1.068389,0.933733,top10v211,2012
3,1.252443,0.904822,top10v211,2012
4,1.219597,0.740503,top10v211,2012
5,1.399556,0.643685,top10v211,2012
6,1.735627,0.643257,top10v211,2012
7,1.800445,1.72882,top10v211,2012
8,0.985392,0.620697,top10v211,2012
9,1.369539,1.102002,top10v211,2012
10,1.272496,0.643257,top10v211,2012
0,1.476108,1.642167,top10v212,2012
1,1.865088,1.438773,top10v212,2012
2,0.815894,1.09513,top10v212,2012
3,0.72535,1.176972,top10v212,2012
4,1.015867,1.304254,top10v212,2012
5,0.72535,1.09513,top10v212,2012
6,1.600251,1.45516,top10v212,2012
7,2.077889,2.016304,top10v212,2012
8,0.856692,1.402937,top10v212,2012
9,1.259061,1.304254,top10v212,2012
10,1.163375,1.493566,top10v212,2012
0,1.429646,1.65082,top10v221,2012
1,1.505422,1.611539,top10v221,2012
2,0.866939,1.171763,top10v221,2012
3,1.318938,0.643257,top10v221,2012
4,1.220143,0.390799,top10v221,2012
5,0.995626,0.914181,top10v221,2012
6,1.735627,0.643257,top10v221,2012
7,1.815895,1.72882,top10v221,2012
8,0.959385,0.620697,top10v221,2012
9,1.369539,1.102002,top10v221,2012
10,1.297356,0.390799,top10v221,2012
0,1.48226,1.71747,top10v222,2012
1,2.017272,1.769013,top10v222,2012
