count,type,year,version
0,verse,2012,top20v212
0,verse,2013,top20v212
0,verse,2014,top20v212
0,verse,2015,top20v212
0,verse,2016,top20v212
0,verse,2017,top20v212
0,verse,2018,top20v212
2,verse,2019,top20v212
0,verse,2020,top20v212
0,verse,2021,top20v212
0,chorus,2012,top20v212
0,chorus,2013,top20v212
0,chorus,2014,top20v212
0,chorus,2015,top20v212
0,chorus,2016,top20v212
0,chorus,2017,top20v212
0,chorus,2018,top20v212
0,chorus,2019,top20v212
2,chorus,2020,top20v212
4,chorus,2021,top20v212
0,verse,2012,top20v221
1,verse,2013,top20v221
0,verse,2014,top20v221
0,verse,2015,top20v221
2,verse,2016,top20v221
1,verse,2017,top20v221
7,verse,2018,top20v221
6,verse,2019,top20v221
2,verse,2020,top20v221
7,verse,2021,top20v221
0,chorus,2012,top20v221
5,chorus,2013,top20v221
0,chorus,2014,top20v221
0,chorus,2015,top20v221
0,chorus,2016,top20v221
0,chorus,2017,top20v221
6,chorus,2018,top20v221
3,chorus,2019,top20v221
6,chorus,2020,top20v221
14,chorus,2021,top20v221
1,verse,2012,top20v231
1,verse,2013,top20v231
0,verse,2014,top20v231
0,verse,2015,top20v231
3,verse,2016,top20v231
5,verse,2017,top20v231
7,verse,2018,top20v231
9,verse,2019,top20v231
4,verse,2020,top20v231
7,verse,2021,top20v231
1,chorus,2012,top20v231
6,chorus,2013,top20v231
0,chorus,2014,top20v231
0,chorus,2015,top20v231
4,chorus,2016,top20v231
2,chorus,2017,top20v231
6,chorus,2018,top20v231
7,chorus,2019,top20v231
11,chorus,2020,top20v231
14,chorus,2021,top20v231
