index,CPSI,version,year,type
0,1.373869,top10v111,2012,verse
1,1.265655,top10v111,2012,verse
2,1.036676,top10v111,2012,verse
3,1.257873,top10v111,2012,verse
4,1.18308,top10v111,2012,verse
5,1.340887,top10v111,2012,verse
6,1.706273,top10v111,2012,verse
7,1.691582,top10v111,2012,verse
8,1.028142,top10v111,2012,verse
9,1.275052,top10v111,2012,verse
10,1.221444,top10v111,2012,verse
0,1.491417,top10v112,2012,verse
1,1.79542,top10v112,2012,verse
2,0.863419,top10v112,2012,verse
3,0.701708,top10v112,2012,verse
4,1.022306,top10v112,2012,verse
5,0.701708,top10v112,2012,verse
6,1.586797,top10v112,2012,verse
7,2.045712,top10v112,2012,verse
8,0.863419,top10v112,2012,verse
9,1.266126,top10v112,2012,verse
10,1.142823,top10v112,2012,verse
0,1.396047,top10v121,2012,verse
1,1.481023,top10v121,2012,verse
2,0.83795,top10v121,2012,verse
3,1.293941,top10v121,2012,verse
4,1.18005,top10v121,2012,verse
5,0.95369,top10v121,2012,verse
6,1.716621,top10v121,2012,verse
7,1.713529,top10v121,2012,verse
8,0.994309,top10v121,2012,verse
9,1.279152,top10v121,2012,verse
10,1.241235,top10v121,2012,verse
0,1.50327,top10v122,2012,verse
1,1.943279,top10v122,2012,verse
2,0.762216,top10v122,2012,verse
3,0.914352,top10v122,2012,verse
4,0.898154,top10v122,2012,verse
5,0.762216,top10v122,2012,verse
6,1.586797,top10v122,2012,verse
7,2.011141,top10v122,2012,verse
8,0.925479,top10v122,2012,verse
9,1.304037,top10v122,2012,verse
10,1.107504,top10v122,2012,verse
0,2.015314,top10v131,2012,verse
1,1.248838,top10v131,2012,verse
2,0.879653,top10v131,2012,verse
3,1.755075,top10v131,2012,verse
4,1.112191,top10v131,2012,verse
5,1.351591,top10v131,2012,verse
6,0.942809,top10v131,2012,verse
7,1.547787,top10v131,2012,verse
8,1.581139,top10v131,2012,verse
9,1.0,top10v131,2012,verse
10,1.524783,top10v131,2012,verse
0,1.0,top10v132,2012,verse
1,1.086534,top10v132,2012,verse
2,1.271045,top10v132,2012,verse
3,1.159202,top10v132,2012,verse
4,1.035817,top10v132,2012,verse
5,1.705791,top10v132,2012,verse
6,1.035817,top10v132,2012,verse
7,1.086534,top10v132,2012,verse
8,1.0,top10v132,2012,verse
9,1.451771,top10v132,2012,verse
10,1.44698,top10v132,2012,verse
0,1.394295,top10v211,2012,verse
1,1.315696,top10v211,2012,verse
2,1.068389,top10v211,2012,verse
3,1.252443,top10v211,2012,verse
4,1.219597,top10v211,2012,verse
5,1.399556,top10v211,2012,verse
6,1.735627,top10v211,2012,verse
7,1.800445,top10v211,2012,verse
8,0.985392,top10v211,2012,verse
9,1.369539,top10v211,2012,verse
